i,j,path1,path2,embedding_distance
484,568,images/image_534.jpg,images/image_70.jpg,5.960464477539063e-08
65,507,images/image_157.jpg,images/image_555.jpg,1.1920928955078125e-07
110,115,images/image_198.jpg,images/image_201.jpg,1.1920928955078125e-07
298,571,images/image_367.jpg,images/image_73.jpg,1.1920928955078125e-07
371,577,images/image_432.jpg,images/image_79.jpg,1.1920928955078125e-07
2,180,images/image_10.jpg,images/image_260.jpg,2.0265579223632812e-06
24,457,images/image_12.jpg,images/image_51.jpg,3.2782554626464844e-06
447,548,images/image_500.jpg,images/image_592.jpg,4.112720489501953e-06
393,548,images/image_452.jpg,images/image_592.jpg,5.0067901611328125e-06
219,479,images/image_296.jpg,images/image_53.jpg,5.245208740234375e-06
393,447,images/image_452.jpg,images/image_500.jpg,5.245208740234375e-06
177,181,images/image_258.jpg,images/image_261.jpg,5.304813385009766e-06
9,180,images/image_106.jpg,images/image_260.jpg,5.662441253662109e-06
287,365,images/image_357.jpg,images/image_427.jpg,5.662441253662109e-06
360,394,images/image_422.jpg,images/image_453.jpg,5.841255187988281e-06
2,9,images/image_10.jpg,images/image_106.jpg,6.198883056640625e-06
172,411,images/image_253.jpg,images/image_469.jpg,6.556510925292969e-06
32,579,images/image_127.jpg,images/image_80.jpg,7.927417755126953e-06
9,590,images/image_106.jpg,images/image_90.jpg,7.987022399902344e-06
344,513,images/image_408.jpg,images/image_560.jpg,8.106231689453125e-06
50,555,images/image_143.jpg,images/image_599.jpg,8.64267349243164e-06
371,573,images/image_432.jpg,images/image_75.jpg,8.761882781982422e-06
573,577,images/image_75.jpg,images/image_79.jpg,8.761882781982422e-06
172,479,images/image_253.jpg,images/image_53.jpg,9.894371032714844e-06
202,515,images/image_280.jpg,images/image_562.jpg,9.953975677490234e-06
56,247,images/image_149.jpg,images/image_320.jpg,1.0132789611816406e-05
127,148,images/image_212.jpg,images/image_231.jpg,1.0251998901367188e-05
77,263,images/image_168.jpg,images/image_335.jpg,1.2218952178955078e-05
240,453,images/image_314.jpg,images/image_506.jpg,1.2278556823730469e-05
267,285,images/image_339.jpg,images/image_355.jpg,1.239776611328125e-05
152,448,images/image_235.jpg,images/image_501.jpg,1.2695789337158203e-05
75,156,images/image_166.jpg,images/image_239.jpg,1.2755393981933594e-05
446,471,images/image_50.jpg,images/image_522.jpg,1.2755393981933594e-05
411,479,images/image_469.jpg,images/image_53.jpg,1.329183578491211e-05
156,272,images/image_239.jpg,images/image_343.jpg,1.341104507446289e-05
219,411,images/image_296.jpg,images/image_469.jpg,1.3768672943115234e-05
19,445,images/image_115.jpg,images/image_5.jpg,1.3947486877441406e-05
73,545,images/image_164.jpg,images/image_59.jpg,1.4603137969970703e-05
255,453,images/image_328.jpg,images/image_506.jpg,1.4603137969970703e-05
3,245,images/image_100.jpg,images/image_319.jpg,1.4901161193847656e-05
169,572,images/image_250.jpg,images/image_74.jpg,1.5020370483398438e-05
192,563,images/image_271.jpg,images/image_66.jpg,1.5139579772949219e-05
85,104,images/image_175.jpg,images/image_192.jpg,1.531839370727539e-05
55,168,images/image_148.jpg,images/image_25.jpg,1.5437602996826172e-05
172,219,images/image_253.jpg,images/image_296.jpg,1.7642974853515625e-05
286,382,images/image_356.jpg,images/image_442.jpg,1.7940998077392578e-05
322,475,images/image_389.jpg,images/image_526.jpg,1.8417835235595703e-05
180,590,images/image_260.jpg,images/image_90.jpg,1.9669532775878906e-05
298,513,images/image_367.jpg,images/image_560.jpg,1.9788742065429688e-05
513,571,images/image_560.jpg,images/image_73.jpg,1.9788742065429688e-05
85,454,images/image_175.jpg,images/image_507.jpg,2.0384788513183594e-05
422,518,images/image_479.jpg,images/image_565.jpg,2.0742416381835938e-05
240,255,images/image_314.jpg,images/image_328.jpg,2.0802021026611328e-05
114,156,images/image_200.jpg,images/image_239.jpg,2.1219253540039062e-05
309,497,images/image_377.jpg,images/image_546.jpg,2.1219253540039062e-05
2,590,images/image_10.jpg,images/image_90.jpg,2.1338462829589844e-05
486,523,images/image_536.jpg,images/image_57.jpg,2.1576881408691406e-05
226,579,images/image_301.jpg,images/image_80.jpg,2.205371856689453e-05
123,361,images/image_209.jpg,images/image_423.jpg,2.2292137145996094e-05
453,574,images/image_506.jpg,images/image_76.jpg,2.2292137145996094e-05
373,534,images/image_434.jpg,images/image_58.jpg,2.2351741790771484e-05
32,226,images/image_127.jpg,images/image_301.jpg,2.2590160369873047e-05
212,238,images/image_29.jpg,images/image_312.jpg,2.2649765014648438e-05
454,580,images/image_507.jpg,images/image_81.jpg,2.294778823852539e-05
5,319,images/image_102.jpg,images/image_386.jpg,2.3126602172851562e-05
74,369,images/image_165.jpg,images/image_430.jpg,2.3126602172851562e-05
31,280,images/image_126.jpg,images/image_350.jpg,2.3186206817626953e-05
171,242,images/image_252.jpg,images/image_316.jpg,2.3305416107177734e-05
0,69,images/image_0.jpg,images/image_160.jpg,2.3543834686279297e-05
98,525,images/image_187.jpg,images/image_571.jpg,2.3543834686279297e-05
422,589,images/image_479.jpg,images/image_9.jpg,2.3663043975830078e-05
129,425,images/image_214.jpg,images/image_481.jpg,2.372264862060547e-05
259,421,images/image_331.jpg,images/image_478.jpg,2.378225326538086e-05
98,197,images/image_187.jpg,images/image_276.jpg,2.384185791015625e-05
197,525,images/image_276.jpg,images/image_571.jpg,2.4020671844482422e-05
332,391,images/image_398.jpg,images/image_450.jpg,2.4199485778808594e-05
45,172,images/image_139.jpg,images/image_253.jpg,2.4259090423583984e-05
166,340,images/image_248.jpg,images/image_404.jpg,2.4497509002685547e-05
495,534,images/image_544.jpg,images/image_58.jpg,2.4497509002685547e-05
92,385,images/image_181.jpg,images/image_445.jpg,2.467632293701172e-05
114,434,images/image_200.jpg,images/image_49.jpg,2.467632293701172e-05
45,411,images/image_139.jpg,images/image_469.jpg,2.473592758178711e-05
95,141,images/image_184.jpg,images/image_225.jpg,2.473592758178711e-05
81,335,images/image_171.jpg,images/image_40.jpg,2.485513687133789e-05
306,407,images/image_374.jpg,images/image_465.jpg,2.5212764739990234e-05
58,593,images/image_150.jpg,images/image_93.jpg,2.5272369384765625e-05
85,580,images/image_175.jpg,images/image_81.jpg,2.5272369384765625e-05
174,544,images/image_255.jpg,images/image_589.jpg,2.5928020477294922e-05
518,589,images/image_565.jpg,images/image_9.jpg,2.6226043701171875e-05
314,595,images/image_381.jpg,images/image_95.jpg,2.6404857635498047e-05
134,456,images/image_219.jpg,images/image_509.jpg,2.664327621459961e-05
66,382,images/image_158.jpg,images/image_442.jpg,2.6702880859375e-05
281,445,images/image_351.jpg,images/image_5.jpg,2.682209014892578e-05
12,150,images/image_109.jpg,images/image_233.jpg,2.7060508728027344e-05
326,329,images/image_392.jpg,images/image_395.jpg,2.7060508728027344e-05
75,114,images/image_166.jpg,images/image_200.jpg,2.7358531951904297e-05
362,567,images/image_424.jpg,images/image_7.jpg,2.759695053100586e-05
295,571,images/image_364.jpg,images/image_73.jpg,2.8252601623535156e-05
66,286,images/image_158.jpg,images/image_356.jpg,2.8371810913085938e-05
295,298,images/image_364.jpg,images/image_367.jpg,2.8371810913085938e-05
441,595,images/image_496.jpg,images/image_95.jpg,2.872943878173828e-05
104,454,images/image_192.jpg,images/image_507.jpg,2.8908252716064453e-05
13,287,images/image_11.jpg,images/image_357.jpg,2.944469451904297e-05
12,182,images/image_109.jpg,images/image_262.jpg,2.950429916381836e-05
243,474,images/image_317.jpg,images/image_525.jpg,2.962350845336914e-05
202,278,images/image_280.jpg,images/image_349.jpg,2.9981136322021484e-05
389,490,images/image_449.jpg,images/image_54.jpg,3.0159950256347656e-05
75,272,images/image_166.jpg,images/image_343.jpg,3.069639205932617e-05
227,434,images/image_302.jpg,images/image_49.jpg,3.129243850708008e-05
25,169,images/image_120.jpg,images/image_250.jpg,3.1828880310058594e-05
360,516,images/image_422.jpg,images/image_563.jpg,3.1828880310058594e-05
255,574,images/image_328.jpg,images/image_76.jpg,3.236532211303711e-05
171,179,images/image_252.jpg,images/image_26.jpg,3.2901763916015625e-05
235,346,images/image_31.jpg,images/image_41.jpg,3.314018249511719e-05
173,516,images/image_254.jpg,images/image_563.jpg,3.361701965332031e-05
394,516,images/image_453.jpg,images/image_563.jpg,3.403425216674805e-05
278,515,images/image_349.jpg,images/image_562.jpg,3.427267074584961e-05
76,319,images/image_167.jpg,images/image_386.jpg,3.4332275390625e-05
130,472,images/image_215.jpg,images/image_523.jpg,3.445148468017578e-05
173,394,images/image_254.jpg,images/image_453.jpg,3.4689903259277344e-05
298,344,images/image_367.jpg,images/image_408.jpg,3.49879264831543e-05
64,99,images/image_156.jpg,images/image_188.jpg,3.504753112792969e-05
344,571,images/image_408.jpg,images/image_73.jpg,3.504753112792969e-05
35,550,images/image_13.jpg,images/image_594.jpg,3.540515899658203e-05
45,479,images/image_139.jpg,images/image_53.jpg,3.540515899658203e-05
96,368,images/image_185.jpg,images/image_43.jpg,3.5762786865234375e-05
150,182,images/image_233.jpg,images/image_262.jpg,3.5762786865234375e-05
114,227,images/image_200.jpg,images/image_302.jpg,3.594160079956055e-05
375,485,images/image_436.jpg,images/image_535.jpg,3.600120544433594e-05
23,283,images/image_119.jpg,images/image_353.jpg,3.606081008911133e-05
65,173,images/image_157.jpg,images/image_254.jpg,3.635883331298828e-05
274,448,images/image_345.jpg,images/image_501.jpg,3.635883331298828e-05
382,404,images/image_442.jpg,images/image_462.jpg,3.641843795776367e-05
173,507,images/image_254.jpg,images/image_555.jpg,3.647804260253906e-05
156,434,images/image_239.jpg,images/image_49.jpg,3.6716461181640625e-05
