path1,path2,label,pair_type,source,group_a,group_b
review_dataset/sorted/negative/pair_000056/A.jpg,review_dataset/sorted/negative/pair_000056/B.jpg,0,negative,cross_group_sampling,296,99
review_dataset/sorted/negative/pair_000005/A.jpg,review_dataset/sorted/negative/pair_000005/B.jpg,0,negative,cross_group_sampling,345,335
review_dataset/sorted/positive/pair_000133/A.jpg,review_dataset/sorted/positive/pair_000133/B.jpg,1,positive,grouped_images,255,255
review_dataset/sorted/positive/pair_000077/A.jpg,review_dataset/sorted/positive/pair_000077/B.jpg,1,positive,grouped_images,398,398
review_dataset/sorted/negative/pair_000260/A.jpg,review_dataset/sorted/negative/pair_000260/B.jpg,0,negative,cross_group_sampling,138,34
review_dataset/sorted/negative/pair_000125/A.jpg,review_dataset/sorted/negative/pair_000125/B.jpg,0,negative,cross_group_sampling,342,419
review_dataset/sorted/negative/pair_000182/A.jpg,review_dataset/sorted/negative/pair_000182/B.jpg,0,negative,cross_group_sampling,410,416
review_dataset/sorted/negative/pair_000010/A.jpg,review_dataset/sorted/negative/pair_000010/B.jpg,0,negative,cross_group_sampling,481,450
review_dataset/sorted/positive/pair_000223/A.jpg,review_dataset/sorted/positive/pair_000223/B.jpg,1,positive,grouped_images,165,165
review_dataset/sorted/positive/pair_000007/A.jpg,review_dataset/sorted/positive/pair_000007/B.jpg,1,positive,grouped_images,161,161
review_dataset/sorted/positive/pair_000102/A.jpg,review_dataset/sorted/positive/pair_000102/B.jpg,1,positive,grouped_images,94,94
review_dataset/sorted/positive/pair_000145/A.jpg,review_dataset/sorted/positive/pair_000145/B.jpg,1,positive,grouped_images,73,73
review_dataset/sorted/positive/pair_000132/A.jpg,review_dataset/sorted/positive/pair_000132/B.jpg,1,positive,grouped_images,14,14
review_dataset/sorted/positive/pair_000025/A.jpg,review_dataset/sorted/positive/pair_000025/B.jpg,1,positive,grouped_images,199,199
review_dataset/sorted/positive/pair_000204/A.jpg,review_dataset/sorted/positive/pair_000204/B.jpg,1,positive,grouped_images,248,248
review_dataset/sorted/negative/pair_000233/A.jpg,review_dataset/sorted/negative/pair_000233/B.jpg,0,negative,cross_group_sampling,126,115
review_dataset/sorted/positive/pair_000062/A.jpg,review_dataset/sorted/positive/pair_000062/B.jpg,1,positive,grouped_images,426,426
review_dataset/sorted/negative/pair_000178/A.jpg,review_dataset/sorted/negative/pair_000178/B.jpg,0,negative,cross_group_sampling,351,167
review_dataset/sorted/positive/pair_000082/A.jpg,review_dataset/sorted/positive/pair_000082/B.jpg,1,positive,grouped_images,73,73
review_dataset/sorted/positive/pair_000237/A.jpg,review_dataset/sorted/positive/pair_000237/B.jpg,1,positive,grouped_images,81,81
review_dataset/sorted/positive/pair_000004/A.jpg,review_dataset/sorted/positive/pair_000004/B.jpg,1,positive,grouped_images,260,260
review_dataset/sorted/negative/pair_000074/A.jpg,review_dataset/sorted/negative/pair_000074/B.jpg,0,negative,cross_group_sampling,311,262
review_dataset/sorted/negative/pair_000213/A.jpg,review_dataset/sorted/negative/pair_000213/B.jpg,0,negative,cross_group_sampling,414,442
review_dataset/sorted/negative/pair_000098/A.jpg,review_dataset/sorted/negative/pair_000098/B.jpg,0,negative,cross_group_sampling,343,249
review_dataset/sorted/positive/pair_000219/A.jpg,review_dataset/sorted/positive/pair_000219/B.jpg,1,positive,grouped_images,73,73
review_dataset/sorted/negative/pair_000060/A.jpg,review_dataset/sorted/negative/pair_000060/B.jpg,0,negative,cross_group_sampling,160,205
review_dataset/sorted/positive/pair_000188/A.jpg,review_dataset/sorted/positive/pair_000188/B.jpg,1,positive,grouped_images,35,35
review_dataset/sorted/positive/pair_000086/A.jpg,review_dataset/sorted/positive/pair_000086/B.jpg,1,positive,grouped_images,43,43
review_dataset/sorted/positive/pair_000247/A.jpg,review_dataset/sorted/positive/pair_000247/B.jpg,1,positive,grouped_images,326,326
review_dataset/sorted/negative/pair_000106/A.jpg,review_dataset/sorted/negative/pair_000106/B.jpg,0,negative,cross_group_sampling,474,477
review_dataset/sorted/positive/pair_000150/A.jpg,review_dataset/sorted/positive/pair_000150/B.jpg,1,positive,grouped_images,57,57
